07/11/2017,00:00:00,65641,83791,43570,29203,24319,29775,17893,9802,9793,9895,9571,101422,81345,93396,76083,75629,58100,68338,9988,10149,10019,10060,14757,9962,6894,6045,4949,7558,5676,9905,9857,10179,10182,51619,461935,68393,43083,28805,27566,21082,10122,10053,9856,9998,37874,44748,65700,49198,74314,61651,68636,9610,9593,9721,9759,10181,11621,14442,12420,14379,11346,13789,9940,8709,9843,9709,8.3,3858,-3,12.53,
07/11/2017,06:00:00,74150,81272,46575,32138,27318,33015,19939,11410,11355,11445,11009,104427,89808,100136,82245,81205,62743,72413,11394,11522,11320,11346,15891,10847,7441,6550,5377,8301,6170,11153,11087,11459,11450,58342,482755,76431,47603,31625,30116,22918,11161,11013,10742,10841,42683,50415,73626,55080,82623,68346,75514,10676,10729,10989,10768,11288,12837,15899,13629,15649,12278,14881,11094,9596,10776,10562,5.4,3858,-3,12.48,
07/11/2017,12:00:00,75928,83498,47988,33251,28364,34358,20779,11745,11801,11966,11571,104571,92182,103258,85218,84308,65415,75689,11709,11964,11811,11900,16234,11100,7629,6726,5544,8573,6390,11455,11459,11918,11949,61429,473375,81090,50415,33471,32036,24504,11828,11767,11558,11715,44871,53248,77324,58279,87243,72477,80437,11465,11457,11626,11620,11838,13514,16766,14408,16568,12987,15805,11689,10195,11533,11354,4.8,3858,-3,12.74,
07/11/2017,14:00:00,74283,83600,47413,32698,27745,33638,20281,11449,11484,11620,11235,102281,90065,101161,83435,82481,63969,74190,11458,11694,11546,11637,15957,10850,7479,6588,5422,8379,6250,11226,11215,11640,11669,54318,452808,74051,46692,31339,30259,23338,10844,10947,10907,11177,40258,48307,70709,53397,81014,67981,76083,10801,10655,10599,11077,10760,12398,15461,13381,15539,12285,15035,10666,9480,10868,10842,5.8,3858,-2,13.1,
07/11/2017,14:30:00,73858,83785,47276,32540,27584,33481,20180,11332,11378,11522,11147,101992,89616,100904,83078,82139,63771,74047,11361,11608,11475,11557,15866,10792,7443,6556,5398,8343,6224,11139,11135,11562,11599,53148,453731,72293,45566,30525,29364,22617,10626,10675,10581,10811,39550,47362,69344,52298,79318,66233,74188,10491,10396,10398,10731,10561,12150,15143,13079,15176,11977,14626,10462,9245,10544,10475,5.9,3858,-2,13.52,
07/11/2017,15:00:00,73893,84286,47329,32506,27483,33343,20054,11326,11327,11446,11058,102746,89915,101204,83209,82125,63636,73911,11408,11591,11427,11490,15897,10806,7448,6555,5388,8317,6197,11170,11127,11523,11532,52329,456091,70930,44705,29921,28740,22079,10455,10468,10345,10547,39061,46693,68359,51459,78057,65094,72611,10267,10198,10251,10477,10419,11971,14909,12854,14902,11761,14331,10305,9065,10309,10210,5.8,3858,-2,13.02,
07/11/2017,15:30:00,73893,84666,47372,32498,27423,33269,20011,11324,11305,11416,11023,103444,90215,101606,83459,82322,63678,73920,11421,11584,11412,11467,15906,10808,7446,6554,5384,8307,6188,11172,11120,11508,11508,52317,459128,70580,44391,29662,28381,21755,10421,10374,10197,10363,39016,46552,68047,51131,77415,64259,71678,10131,10098,10241,10300,10386,11914,14819,12754,14761,11630,14143,10283,8986,10178,10051,5.6,3858,-2,12.94,
07/11/2017,16:00:00,74479,85395,47743,32698,27548,33401,20066,11423,11372,11459,11050,104883,91250,102680,84123,83094,64152,74341,11533,11653,11458,11487,16018,10875,7489,6586,5408,8333,6204,11269,11186,11558,11540,52504,462870,70731,44419,29666,28345,21678,10435,10360,10155,10296,39175,46736,68395,51253,77466,64308,71451,10095,10094,10266,10237,10427,11942,14841,12757,14738,11598,14081,10318,8983,10140,10000,5,3858,-2,12.87,
07/11/2017,16:30:00,74999,86242,48111,32940,27734,33630,20202,11515,11461,11548,11130,106072,92153,103643,84943,83842,64715,74954,11611,11742,11532,11556,16119,10934,7535,6626,5437,8379,6236,11348,11261,11637,11622,55364,468998,73626,45796,30426,28869,21946,10837,10631,10323,10386,41115,48757,70884,52994,79416,65439,72279,10267,10381,10771,10320,10761,12281,15227,13039,14969,11728,14198,10731,9208,10301,10082,4.7,3858,-2,12.82,
07/11/2017,17:00:00,75811,87200,48612,33266,27964,33902,20353,11651,11587,11667,11235,107817,93240,104734,85914,84776,65337,75610,11732,11847,11629,11648,16245,11021,7588,6672,5474,8430,6273,11458,11365,11728,11704,57533,478777,76259,47277,31317,29665,22501,11187,10947,10594,10630,42628,50527,73347,54817,81960,67340,74146,10565,10707,11128,10586,11102,12664,15678,13410,15366,12015,14520,11090,9490,10596,10344,4.4,3858,-1,12.76,
